date,well,find,chem,area,wqo
4/6/1987,03N23W_Ventura_NYE_01,42,chloride,casitas,100
4/6/1987,03N23W_Ventura_NYE_01,2.10087,nitrate_as_n,casitas,10
4/6/1987,03N23W_Ventura_NYE_01,9.3,nitrate_as_no3,casitas,45
4/6/1987,03N23W_Ventura_NYE_01,255,sulfate,casitas,300
4/6/1987,03N23W_Ventura_NYE_01,656,tds,casitas,800
6/1/1987,03N23W_Ventura_NYE_01,40,chloride,casitas,100
6/1/1987,03N23W_Ventura_NYE_01,1.40058,nitrate_as_n,casitas,10
6/1/1987,03N23W_Ventura_NYE_01,6.2,nitrate_as_no3,casitas,45
6/1/1987,03N23W_Ventura_NYE_01,236,sulfate,casitas,300
6/1/1987,03N23W_Ventura_NYE_01,600,tds,casitas,800
7/6/1987,03N23W_Ventura_NYE_01,40,chloride,casitas,100
7/6/1987,03N23W_Ventura_NYE_01,1.40058,nitrate_as_n,casitas,10
7/6/1987,03N23W_Ventura_NYE_01,6.2,nitrate_as_no3,casitas,45
7/6/1987,03N23W_Ventura_NYE_01,261,sulfate,casitas,300
7/6/1987,03N23W_Ventura_NYE_01,652,tds,casitas,800
6/6/1988,03N23W_Ventura_NYE_01,48,chloride,casitas,100
6/6/1988,03N23W_Ventura_NYE_01,1.31022,nitrate_as_n,casitas,10
6/6/1988,03N23W_Ventura_NYE_01,5.8,nitrate_as_no3,casitas,45
6/6/1988,03N23W_Ventura_NYE_01,223,sulfate,casitas,300
6/6/1988,03N23W_Ventura_NYE_01,628,tds,casitas,800
6/5/1989,03N23W_Ventura_NYE_01,31,chloride,casitas,100
6/5/1989,03N23W_Ventura_NYE_01,12.26637,nitrate_as_n,casitas,10
6/5/1989,03N23W_Ventura_NYE_01,54.3,nitrate_as_no3,casitas,45
6/5/1989,03N23W_Ventura_NYE_01,234,sulfate,casitas,300
6/5/1989,03N23W_Ventura_NYE_01,712,tds,casitas,800
5/7/1990,03N23W_Ventura_NYE_01,54,chloride,casitas,100
5/7/1990,03N23W_Ventura_NYE_01,1.89756,nitrate_as_n,casitas,10
5/7/1990,03N23W_Ventura_NYE_01,8.4,nitrate_as_no3,casitas,45
5/7/1990,03N23W_Ventura_NYE_01,210,sulfate,casitas,300
5/7/1990,03N23W_Ventura_NYE_01,800,tds,casitas,800
6/4/1990,03N23W_Ventura_NYE_01,55,chloride,casitas,100
6/4/1990,03N23W_Ventura_NYE_01,2.59785,nitrate_as_n,casitas,10
6/4/1990,03N23W_Ventura_NYE_01,11.5,nitrate_as_no3,casitas,45
6/4/1990,03N23W_Ventura_NYE_01,224,sulfate,casitas,300
6/4/1990,03N23W_Ventura_NYE_01,692,tds,casitas,800
6/3/1991,03N23W_Ventura_NYE_01,55,chloride,casitas,100
6/3/1991,03N23W_Ventura_NYE_01,6.50592,nitrate_as_n,casitas,10
6/3/1991,03N23W_Ventura_NYE_01,28.8,nitrate_as_no3,casitas,45
