,well,find,chem,area,wqo
1987-04-06,03N23W_Ventura_NYE_01,42.0,chloride,casitas,100.0
1987-06-01,03N23W_Ventura_NYE_01,40.0,chloride,casitas,100.0
1987-07-06,03N23W_Ventura_NYE_01,40.0,chloride,casitas,100.0
1988-06-06,03N23W_Ventura_NYE_01,48.0,chloride,casitas,100.0
1989-06-05,03N23W_Ventura_NYE_01,31.0,chloride,casitas,100.0
1990-05-07,03N23W_Ventura_NYE_01,54.0,chloride,casitas,100.0
1990-06-04,03N23W_Ventura_NYE_01,55.0,chloride,casitas,100.0
1991-06-03,03N23W_Ventura_NYE_01,55.0,chloride,casitas,100.0
1995-09-11,03N23W_Ventura_NYE_01,26.0,chloride,casitas,100.0
1995-11-06,03N23W_Ventura_NYE_01,31.0,chloride,casitas,100.0
1995-12-04,03N23W_Ventura_NYE_01,29.0,chloride,casitas,100.0
1996-03-04,03N23W_Ventura_NYE_01,32.0,chloride,casitas,100.0
1996-04-01,03N23W_Ventura_NYE_01,39.0,chloride,casitas,100.0
1996-05-06,03N23W_Ventura_NYE_01,39.0,chloride,casitas,100.0
1996-07-01,03N23W_Ventura_NYE_01,33.0,chloride,casitas,100.0
1996-08-05,03N23W_Ventura_NYE_01,37.0,chloride,casitas,100.0
1996-09-09,03N23W_Ventura_NYE_01,33.0,chloride,casitas,100.0
1996-10-07,03N23W_Ventura_NYE_01,31.0,chloride,casitas,100.0
1996-11-04,03N23W_Ventura_NYE_01,39.0,chloride,casitas,100.0
1996-12-02,03N23W_Ventura_NYE_01,42.0,chloride,casitas,100.0
1997-01-06,03N23W_Ventura_NYE_01,42.0,chloride,casitas,100.0
1997-02-03,03N23W_Ventura_NYE_01,37.0,chloride,casitas,100.0
1997-03-03,03N23W_Ventura_NYE_01,33.0,chloride,casitas,100.0
1997-04-07,03N23W_Ventura_NYE_01,38.0,chloride,casitas,100.0
1997-05-05,03N23W_Ventura_NYE_01,41.0,chloride,casitas,100.0
1997-06-02,03N23W_Ventura_NYE_01,38.0,chloride,casitas,100.0
1997-07-07,03N23W_Ventura_NYE_01,45.0,chloride,casitas,100.0
1997-08-04,03N23W_Ventura_NYE_01,41.0,chloride,casitas,100.0
1997-09-08,03N23W_Ventura_NYE_01,42.0,chloride,casitas,100.0
1997-10-06,03N23W_Ventura_NYE_01,41.0,chloride,casitas,100.0
1997-11-03,03N23W_Ventura_NYE_01,39.0,chloride,casitas,100.0
1997-12-01,03N23W_Ventura_NYE_01,42.0,chloride,casitas,100.0
1998-01-05,03N23W_Ventura_NYE_01,48.0,chloride,casitas,100.0
1998-07-06,03N23W_Ventura_NYE_01,22.0,chloride,casitas,100.0
1998-08-03,03N23W_Ventura_NYE_01,22.0,chloride,casitas,100.0
1998-09-14,03N23W_Ventura_NYE_01,19.0,chloride,casitas,100.0
1998-10-05,03N23W_Ventura_NYE_01,19.0,chloride,casitas,100.0
