well,chem,0
03N23W05A01S,BORON,7.0
03N23W05A01S,CHLORIDE,8.0
03N23W05A01S,NITRATE (AS N),8.0
03N23W05A01S,NITRATE (AS NO3),8.0
03N23W05A01S,SULFATE,8.0
03N23W05A01S,TOTAL DISSOLVED SOLIDS,8.0
03N23W05B01S,BORON,2.0
03N23W05B01S,CHLORIDE,3.0
03N23W05B01S,NITRATE (AS N),6.0
03N23W05B01S,NITRATE (AS NO3),6.0
03N23W05B01S,SULFATE,3.0
03N23W05B01S,TOTAL DISSOLVED SOLIDS,8.0
03N23W05H01S,BORON,22.0
03N23W05H01S,CHLORIDE,21.0
03N23W05H01S,NITRATE (AS N),22.0
03N23W05H01S,NITRATE (AS NO3),22.0
03N23W05H01S,SULFATE,21.0
03N23W05H01S,TOTAL DISSOLVED SOLIDS,10.0
03N23W05K01S,BORON,6.0
03N23W05K01S,CHLORIDE,8.0
03N23W05K01S,NITRATE (AS N),9.0
03N23W05K01S,NITRATE (AS NO3),9.0
03N23W05K01S,SULFATE,8.0
03N23W05K01S,TOTAL DISSOLVED SOLIDS,9.0
03N23W05K02S,CHLORIDE,1.0
03N23W05K02S,NITRATE (AS N),1.0
03N23W05K02S,NITRATE (AS NO3),1.0
03N23W05K02S,SULFATE,1.0
03N23W05K02S,TOTAL DISSOLVED SOLIDS,1.0
03N23W05P02S,BORON,103.0
03N23W05P02S,CHLORIDE,155.0
03N23W05P02S,NITRATE (AS N),154.0
03N23W05P02S,NITRATE (AS NO3),154.0
03N23W05P02S,SULFATE,155.0
03N23W05P02S,TOTAL DISSOLVED SOLIDS,164.0
03N23W08B01S,BORON,120.0
03N23W08B01S,CHLORIDE,186.0
03N23W08B01S,NITRATE (AS N),186.0
03N23W08B01S,NITRATE (AS NO3),186.0
03N23W08B01S,SULFATE,185.0
03N23W08B01S,TOTAL DISSOLVED SOLIDS,185.0
03N23W08B02S,BORON,166.0
03N23W08B02S,CHLORIDE,148.0
03N23W08B02S,NITRATE (AS N),88.0
03N23W08B02S,NITRATE (AS NO3),88.0
03N23W08B02S,SULFATE,154.0
03N23W08B02S,TOTAL DISSOLVED SOLIDS,86.0
03N23W08B03S,BORON,1.0
03N23W08B03S,CHLORIDE,1.0
03N23W08B03S,NITRATE (AS N),1.0
03N23W08B03S,NITRATE (AS NO3),1.0
03N23W08B03S,SULFATE,1.0
03N23W08B03S,TOTAL DISSOLVED SOLIDS,1.0
03N23W08B05S,BORON,43.0
03N23W08B05S,CHLORIDE,46.0
03N23W08B05S,NITRATE (AS N),54.0
03N23W08B05S,NITRATE (AS NO3),54.0
03N23W08B05S,SULFATE,55.0
03N23W08B05S,TOTAL DISSOLVED SOLIDS,57.0
03N23W08B11S,BORON,160.0
03N23W08B11S,CHLORIDE,162.0
03N23W08B11S,NITRATE (AS N),82.0
03N23W08B11S,NITRATE (AS NO3),82.0
03N23W08B11S,SULFATE,162.0
03N23W08B11S,TOTAL DISSOLVED SOLIDS,82.0
03N23W08C02S,BORON,382.0
03N23W08C02S,CHLORIDE,368.0
03N23W08C02S,NITRATE (AS N),212.0
03N23W08C02S,NITRATE (AS NO3),212.0
03N23W08C02S,SULFATE,381.0
03N23W08C02S,TOTAL DISSOLVED SOLIDS,210.0
03N23W08C03S,BORON,1.0
03N23W08C03S,CHLORIDE,1.0
03N23W08C03S,NITRATE (AS N),1.0
03N23W08C03S,NITRATE (AS NO3),1.0
03N23W08C03S,SULFATE,1.0
03N23W08C03S,TOTAL DISSOLVED SOLIDS,1.0
03N23W_Ventura_NYE_01,BORON,54.0
03N23W_Ventura_NYE_01,CHLORIDE,62.0
03N23W_Ventura_NYE_01,NITRATE (AS N),63.0
03N23W_Ventura_NYE_01,NITRATE (AS NO3),63.0
03N23W_Ventura_NYE_01,SULFATE,62.0
03N23W_Ventura_NYE_01,TOTAL DISSOLVED SOLIDS,62.0
03N23W_Ventura_NYE_01A,BORON,32.0
03N23W_Ventura_NYE_01A,CHLORIDE,29.0
03N23W_Ventura_NYE_01A,NITRATE (AS N),29.0
03N23W_Ventura_NYE_01A,NITRATE (AS NO3),29.0
03N23W_Ventura_NYE_01A,SULFATE,29.0
03N23W_Ventura_NYE_01A,TOTAL DISSOLVED SOLIDS,29.0
03N23W_Ventura_NYE_05,BORON,1.0
03N23W_Ventura_NYE_05,CHLORIDE,1.0
03N23W_Ventura_NYE_05,NITRATE (AS N),1.0
03N23W_Ventura_NYE_05,NITRATE (AS NO3),1.0
03N23W_Ventura_NYE_05,SULFATE,1.0
03N23W_Ventura_NYE_05,TOTAL DISSOLVED SOLIDS,1.0
04N23W03D01S,BORON,1.0
04N23W03D01S,CHLORIDE,1.0
04N23W03D01S,NITRATE (AS N),1.0
04N23W03D01S,NITRATE (AS NO3),1.0
04N23W03D01S,SULFATE,1.0
04N23W03D01S,TOTAL DISSOLVED SOLIDS,1.0
04N23W03M01S,BORON,3.0
04N23W03M01S,CHLORIDE,3.0
04N23W03M01S,NITRATE (AS N),7.0
04N23W03M01S,NITRATE (AS NO3),7.0
04N23W03M01S,SULFATE,3.0
04N23W03M01S,TOTAL DISSOLVED SOLIDS,7.0
04N23W04H01S,BORON,6.0
04N23W04H01S,CHLORIDE,6.0
04N23W04H01S,NITRATE (AS N),7.0
04N23W04H01S,NITRATE (AS NO3),7.0
