well,date,wl,rp,td,from,to
03N23W05A01S,8/22/84,251.6999969,290,50,30,50
03N23W05A01S,4/24/86,256.7000122,290,50,30,50
03N23W05A01S,5/8/86,255.3999939,290,50,30,50
03N23W05A01S,5/22/86,256.5,290,50,30,50
03N23W05B01S,3/20/19,254.6,293.2,70,,
03N23W05Q01S,6/27/17,233.99,250,60,,
03N23W08B07S,10/4/72,210.1000061,241.703,60,,
03N23W08B07S,12/5/72,223.3000031,241.703,60,,
03N23W08B07S,2/21/73,225,241.703,60,,
03N23W08B07S,4/11/73,226.1999969,241.703,60,,
03N23W08B07S,6/6/73,226.1999969,241.703,60,,
03N23W08B07S,7/31/73,226.1999969,241.703,60,,
03N23W08B07S,9/26/73,223.6999969,241.703,60,,
03N23W08B07S,12/4/73,224.1999969,241.703,60,,
03N23W08B07S,1/31/74,225.8000031,241.703,60,,
03N23W08B07S,4/3/74,224.1000061,241.703,60,,
03N23W08B07S,6/5/74,224.1000061,241.703,60,,
03N23W08B07S,8/8/74,225.1999969,241.703,60,,
03N23W08B07S,9/26/74,225,241.703,60,,
03N23W08B07S,12/11/74,225,241.703,60,,
03N23W08B07S,1/21/75,225.3999939,241.703,60,,
03N23W08B07S,3/27/75,226,241.703,60,,
03N23W08B07S,6/11/75,224.6000061,241.703,60,,
03N23W08B07S,8/1/75,224.5,241.703,60,,
03N23W08B07S,9/29/75,223,241.703,60,,
03N23W08B07S,12/2/75,218.3999939,241.703,60,,
03N23W08B07S,1/20/76,216,241.703,60,,
03N23W08B07S,3/29/76,225.1999969,241.703,60,,
03N23W08B07S,5/20/76,222.1999969,241.703,60,,
03N23W08B07S,7/20/76,220.8999939,241.703,60,,
03N23W08B07S,10/12/76,216.1999969,241.703,60,,
03N23W08B07S,12/6/76,213.5,241.703,60,,
03N23W08B07S,1/24/77,223.1999969,241.703,60,,
03N23W08B07S,3/29/77,222.8999939,241.703,60,,
03N23W08B07S,5/25/77,222.6999969,241.703,60,,
03N23W08B07S,7/28/77,215.3000031,241.703,60,,
03N23W08B07S,9/23/77,213.8000031,241.703,60,,
03N23W08B07S,12/7/77,211.5,241.703,60,,
03N23W08B07S,2/23/78,226.8999939,241.703,60,,
03N23W08B07S,4/17/78,224.6999969,241.703,60,,
03N23W08B07S,5/24/78,225.3999939,241.703,60,,
03N23W08B07S,7/25/78,227.3000031,241.703,60,,
03N23W08B07S,9/25/78,227.1999969,241.703,60,,
03N23W08B07S,11/27/78,227,241.703,60,,
03N23W08B07S,2/7/79,224.1000061,241.703,60,,
03N23W08B07S,4/10/79,223.1999969,241.703,60,,
