well,date,find,chem,unit,wqo,abovemcl,area
03N23W_Ventura_NYE_01,4/6/1987 0:00,42,CHLORIDE,MG/L,100,0,Casitas Springs
03N23W_Ventura_NYE_01,4/6/1987 0:00,2.10087,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W_Ventura_NYE_01,4/6/1987 0:00,9.3,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W_Ventura_NYE_01,4/6/1987 0:00,255,SULFATE,MG/L,300,0,Casitas Springs
03N23W_Ventura_NYE_01,4/6/1987 0:00,656,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W_Ventura_NYE_01,6/1/1987 0:00,40,CHLORIDE,MG/L,100,0,Casitas Springs
03N23W_Ventura_NYE_01,6/1/1987 0:00,1.40058,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W_Ventura_NYE_01,6/1/1987 0:00,6.2,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W_Ventura_NYE_01,6/1/1987 0:00,236,SULFATE,MG/L,300,0,Casitas Springs
03N23W_Ventura_NYE_01,6/1/1987 0:00,600,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W_Ventura_NYE_01,7/6/1987 0:00,40,CHLORIDE,MG/L,100,0,Casitas Springs
03N23W_Ventura_NYE_01,7/6/1987 0:00,1.40058,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W_Ventura_NYE_01,7/6/1987 0:00,6.2,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W_Ventura_NYE_01,7/6/1987 0:00,261,SULFATE,MG/L,300,0,Casitas Springs
03N23W_Ventura_NYE_01,7/6/1987 0:00,652,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W_Ventura_NYE_01,6/6/1988 0:00,48,CHLORIDE,MG/L,100,0,Casitas Springs
03N23W_Ventura_NYE_01,6/6/1988 0:00,1.31022,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W_Ventura_NYE_01,6/6/1988 0:00,5.8,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W_Ventura_NYE_01,6/6/1988 0:00,223,SULFATE,MG/L,300,0,Casitas Springs
03N23W_Ventura_NYE_01,6/6/1988 0:00,628,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W_Ventura_NYE_01,6/5/1989 0:00,31,CHLORIDE,MG/L,100,0,Casitas Springs
03N23W_Ventura_NYE_01,6/5/1989 0:00,12.26637,NITRATE (AS N),MG/L,10,1,Casitas Springs
03N23W_Ventura_NYE_01,6/5/1989 0:00,54.3,NITRATE (AS NO3),MG/L,45,1,Casitas Springs
03N23W_Ventura_NYE_01,6/5/1989 0:00,234,SULFATE,MG/L,300,0,Casitas Springs
03N23W_Ventura_NYE_01,6/5/1989 0:00,712,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W_Ventura_NYE_01,5/7/1990 0:00,54,CHLORIDE,MG/L,100,0,Casitas Springs
03N23W_Ventura_NYE_01,5/7/1990 0:00,1.89756,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W_Ventura_NYE_01,5/7/1990 0:00,8.4,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W_Ventura_NYE_01,5/7/1990 0:00,210,SULFATE,MG/L,300,0,Casitas Springs
03N23W_Ventura_NYE_01,5/7/1990 0:00,800,TOTAL DISSOLVED SOLIDS,MG/L,800,1,Casitas Springs
03N23W_Ventura_NYE_01,6/4/1990 0:00,55,CHLORIDE,MG/L,100,0,Casitas Springs
03N23W_Ventura_NYE_01,6/4/1990 0:00,2.59785,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W_Ventura_NYE_01,6/4/1990 0:00,11.5,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W_Ventura_NYE_01,6/4/1990 0:00,224,SULFATE,MG/L,300,0,Casitas Springs
03N23W_Ventura_NYE_01,6/4/1990 0:00,692,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W_Ventura_NYE_01,6/3/1991 0:00,55,CHLORIDE,MG/L,100,0,Casitas Springs
03N23W_Ventura_NYE_01,6/3/1991 0:00,6.50592,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W_Ventura_NYE_01,6/3/1991 0:00,28.8,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W_Ventura_NYE_01,6/3/1991 0:00,245,SULFATE,MG/L,300,0,Casitas Springs
03N23W_Ventura_NYE_01,6/3/1991 0:00,804,TOTAL DISSOLVED SOLIDS,MG/L,800,1,Casitas Springs
03N23W_Ventura_NYE_01,2/11/1993 0:00,5.15052,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W_Ventura_NYE_01,2/11/1993 0:00,22.8,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W_Ventura_NYE_01,9/11/1995 0:00,0.00032,BORON,MG/L,0.5,0,Casitas Springs
03N23W_Ventura_NYE_01,9/11/1995 0:00,26,CHLORIDE,MG/L,100,0,Casitas Springs
03N23W_Ventura_NYE_01,9/11/1995 0:00,1.8072,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W_Ventura_NYE_01,9/11/1995 0:00,8,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W_Ventura_NYE_01,9/11/1995 0:00,262,SULFATE,MG/L,300,0,Casitas Springs
03N23W_Ventura_NYE_01,9/11/1995 0:00,692,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W_Ventura_NYE_01,11/6/1995 0:00,0.00043,BORON,MG/L,0.5,0,Casitas Springs
03N23W_Ventura_NYE_01,11/6/1995 0:00,31,CHLORIDE,MG/L,100,0,Casitas Springs
03N23W_Ventura_NYE_01,11/6/1995 0:00,1.49094,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W_Ventura_NYE_01,11/6/1995 0:00,6.6,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
