well,date,wl,rp,td,from,to
03N23W05A01S,8/22/1984,251.6999969,290,50,30,50
03N23W05A01S,4/24/1986,256.7000122,290,50,30,50
03N23W05A01S,5/8/1986,255.3999939,290,50,30,50
03N23W05A01S,5/22/1986,256.5,290,50,30,50
03N23W05B01S,3/20/2019,254.6,293.2,70,,
03N23W05Q01S,6/27/2017,233.99,250,60,,
03N23W08B07S,10/4/1972,210.1000061,241.703,60,,
03N23W08B07S,12/5/1972,223.3000031,241.703,60,,
03N23W08B07S,2/21/1973,225,241.703,60,,
03N23W08B07S,4/11/1973,226.1999969,241.703,60,,
03N23W08B07S,6/6/1973,226.1999969,241.703,60,,
03N23W08B07S,7/31/1973,226.1999969,241.703,60,,
03N23W08B07S,9/26/1973,223.6999969,241.703,60,,
03N23W08B07S,12/4/1973,224.1999969,241.703,60,,
03N23W08B07S,1/31/1974,225.8000031,241.703,60,,
03N23W08B07S,4/3/1974,224.1000061,241.703,60,,
03N23W08B07S,6/5/1974,224.1000061,241.703,60,,
03N23W08B07S,8/8/1974,225.1999969,241.703,60,,
03N23W08B07S,9/26/1974,225,241.703,60,,
03N23W08B07S,12/11/1974,225,241.703,60,,
03N23W08B07S,1/21/1975,225.3999939,241.703,60,,
03N23W08B07S,3/27/1975,226,241.703,60,,
03N23W08B07S,6/11/1975,224.6000061,241.703,60,,
03N23W08B07S,8/1/1975,224.5,241.703,60,,
03N23W08B07S,9/29/1975,223,241.703,60,,
03N23W08B07S,12/2/1975,218.3999939,241.703,60,,
03N23W08B07S,1/20/1976,216,241.703,60,,
03N23W08B07S,3/29/1976,225.1999969,241.703,60,,
03N23W08B07S,5/20/1976,222.1999969,241.703,60,,
03N23W08B07S,7/20/1976,220.8999939,241.703,60,,
03N23W08B07S,10/12/1976,216.1999969,241.703,60,,
03N23W08B07S,12/6/1976,213.5,241.703,60,,
03N23W08B07S,1/24/1977,223.1999969,241.703,60,,
03N23W08B07S,3/29/1977,222.8999939,241.703,60,,
03N23W08B07S,5/25/1977,222.6999969,241.703,60,,
03N23W08B07S,7/28/1977,215.3000031,241.703,60,,
03N23W08B07S,9/23/1977,213.8000031,241.703,60,,
03N23W08B07S,12/7/1977,211.5,241.703,60,,
03N23W08B07S,2/23/1978,226.8999939,241.703,60,,
03N23W08B07S,4/17/1978,224.6999969,241.703,60,,
03N23W08B07S,5/24/1978,225.3999939,241.703,60,,
03N23W08B07S,7/25/1978,227.3000031,241.703,60,,
03N23W08B07S,9/25/1978,227.1999969,241.703,60,,
03N23W08B07S,11/27/1978,227,241.703,60,,
03N23W08B07S,2/7/1979,224.1000061,241.703,60,,
03N23W08B07S,4/10/1979,223.1999969,241.703,60,,
03N23W08B07S,6/5/1979,226.6999969,241.703,60,,
03N23W08B07S,8/6/1979,226.8000031,241.703,60,,
03N23W08B07S,9/27/1979,226.1000061,241.703,60,,
03N23W08B07S,11/20/1979,224.8999939,241.703,60,,
03N23W08B07S,2/6/1980,224.3000031,241.703,60,,
03N23W08B07S,3/31/1980,224.3999939,241.703,60,,
03N23W08B07S,6/5/1980,227.1000061,241.703,60,,
03N23W08B07S,7/22/1980,225.1000061,241.703,60,,
03N23W08B07S,9/29/1980,225.5,241.703,60,,
03N23W08B07S,12/3/1980,224.6999969,241.703,60,,
03N23W08B07S,2/3/1981,223.8000031,241.703,60,,
03N23W08B07S,3/24/1981,224.1000061,241.703,60,,
03N23W08B07S,6/2/1981,225.1999969,241.703,60,,
03N23W08B07S,7/22/1981,223.5,241.703,60,,
03N23W08B07S,9/21/1981,221.3999939,241.703,60,,
03N23W08B07S,12/2/1981,217.3000031,241.703,60,,
03N23W08B07S,1/25/1982,221.6999969,241.703,60,,
03N23W08B07S,4/6/1982,224.8000031,241.703,60,,
